Within Cluster SSE
708.5834983
650.6572583
449.1937488
422.7166994
287.8889977
252.5606532
215.8839357
216.1136609
192.9764374
179.4704543
169.9124389
164.5485005
154.8885211
151.1960663
112.6293748
106.0645596
107.8357176
104.0099657
100.3381967
