@relation 'AT: 2016_New_Coder_Survey.arff-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-R3-4-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.EM -I 100 -N 2 -X 10 -max -1 -ll-cv 1.0E-6 -ll-iter 1.0E-6 -M 1.0E-6 -K 10 -num-slots 1 -S 100'

@attribute '0.72 Income+0.685Age+0.093IsSoftwareDev-0.062IsEthnicMinority' numeric
@attribute -0.767IsSoftwareDev+0.568IsEthnicMinority+0.274Age-0.113Income numeric
@attribute Gender numeric
@attribute cluster {cluster1,cluster2}

@data
-0.284584,-1.596086,1,cluster1
-0.159001,-1.09615,1,cluster1
-1.168412,-0.046279,1,cluster2
-0.121687,0.307786,0,cluster2
-0.884791,0.001969,1,cluster2
-1.494195,0.049994,1,cluster2
-1.337893,-1.478673,1,cluster1
-0.537475,0.231079,0,cluster2
0.031793,0.425495,1,cluster2
-0.468882,1.679243,1,cluster2
-0.626125,0.386636,1,cluster2
0.039908,0.471459,1,cluster2
0.253429,1.519102,1,cluster2
-1.099842,-1.563117,1,cluster1
-1.280182,0.158241,1,cluster2
3.344383,-1.029743,1,cluster2
-0.252168,-1.459453,0,cluster1
1.269741,-1.130548,1,cluster2
3.380878,-0.846514,1,cluster2
2.452558,0.939182,1,cluster2
0.801482,0.259833,1,cluster2
0.205354,1.904484,0,cluster2
0.540529,0.629372,1,cluster2
-0.179714,-0.200826,1,cluster2
-0.458066,-1.521735,1,cluster1
1.838572,-1.408397,1,cluster1
0.035556,1.600392,1,cluster2
-0.312701,-1.449991,1,cluster1
0.442245,-1.237366,0,cluster1
-0.601868,0.430078,0,cluster2
-1.082487,0.080105,1,cluster2
-0.098688,-1.341744,1,cluster1
0.437946,-1.520094,0,cluster1
-0.373452,-1.676661,1,cluster1
-0.961422,0.061181,1,cluster2
-0.023963,0.623143,1,cluster2
-0.089491,0.208286,1,cluster2
-1.122667,0.275319,1,cluster2
-0.975371,0.252295,1,cluster2
-0.670559,0.346348,1,cluster2
-0.969361,0.204122,1,cluster2
1.400222,0.636691,0,cluster2
-1.631578,-0.117465,1,cluster2
1.863867,0.091883,0,cluster2
-1.547827,-1.540324,1,cluster1
-0.876511,1.695727,0,cluster2
-0.73925,0.262619,1,cluster2
0.112284,0.176746,0,cluster2
-0.702974,0.209715,0,cluster2
-1.099842,-1.563117,1,cluster1
-0.545634,0.137888,1,cluster2
-0.892512,0.381043,1,cluster2
-0.384214,0.112656,1,cluster2
-0.924927,0.24441,1,cluster2
0.10685,-0.198387,0,cluster2
1.862731,-0.000521,1,cluster2
0.24047,-1.205826,1,cluster1
-0.63962,-1.446122,1,cluster1
-0.857493,-1.364832,1,cluster1
1.12828,-1.344602,1,cluster1
0.665576,2.021478,1,cluster2
-0.667737,-1.300027,1,cluster1
2.791432,-1.037776,1,cluster2
-0.788802,-1.281103,1,cluster1
-0.121687,0.307786,1,cluster2
0.833557,-1.440233,1,cluster1
-0.449742,0.21925,1,cluster2
0.822795,0.349084,1,cluster2
-0.239508,-0.004431,1,cluster2
-0.065332,1.616162,1,cluster2
0.692533,-1.182023,1,cluster1
0.627922,-1.219156,1,cluster1
-1.015682,0.305829,1,cluster2
-1.212749,-1.451001,1,cluster1
-2.025137,1.308473,0,cluster2
-0.626485,1.467712,1,cluster2
-0.772032,0.36221,0,cluster2
-0.708432,-1.246433,1,cluster1
-1.001655,1.668056,1,cluster2
0.244232,-0.030928,1,cluster2
-0.17042,-0.01523,0,cluster2
-0.913946,-1.308775,1,cluster1
-0.300463,-1.310204,0,cluster1
-0.364855,-1.111205,1,cluster1
-1.401247,0.177165,1,cluster2
-1.168314,-1.410714,1,cluster1
-1.110701,1.590634,1,cluster2
-1.805114,1.368547,0,cluster2
1.42812,0.254463,0,cluster2
1.343891,2.293315,1,cluster2
0.07806,1.735448,1,cluster2
1.226345,0.286003,1,cluster2
-0.251086,0.044613,1,cluster2
0.010139,-1.500455,1,cluster1
-0.17428,0.174307,1,cluster2
-0.638363,0.246849,1,cluster2
-1.163294,1.457155,1,cluster2
-0.949184,0.200968,1,cluster2
2.052146,-1.772415,1,cluster2
-1.378248,-1.472365,1,cluster1
-0.755348,0.312369,1,cluster2
-1.231669,0.245124,1,cluster2
1.848426,0.85003,1,cluster2
0.4596,0.405856,1,cluster2
1.746719,-0.354906,1,cluster2
0.721908,0.364854,1,cluster2
-0.958381,-1.349062,1,cluster1
0.228134,0.018822,1,cluster2
-1.175313,1.553501,1,cluster2
-0.468882,1.679243,1,cluster2
0.653217,0.281124,0,cluster2
-0.873591,-1.315083,1,cluster1
-1.086445,1.634076,1,cluster2
1.46292,-1.727544,1,cluster1
-0.453943,-1.427913,0,cluster1
-1.297538,-1.484981,0,cluster1
-0.130762,0.358322,1,cluster2
-0.337089,-1.635112,1,cluster1
-0.373452,-1.676661,1,cluster1
1.105718,0.777192,1,cluster2
-0.808979,-1.277949,1,cluster1
-1.631578,-0.117465,1,cluster2
-0.400093,0.398538,1,cluster2
2.506246,2.253323,1,cluster2
-0.291266,0.239826,1,cluster2
-0.40929,-1.151493,1,cluster1
-1.135221,1.263834,1,cluster2
-0.630423,0.103908,1,cluster2
0.185493,0.779336,1,cluster2
-0.743329,0.216023,1,cluster2
0.177115,0.450012,1,cluster2
0.147643,0.26757,1,cluster2
-0.682895,1.570996,1,cluster2
-0.16716,-1.189341,1,cluster1
0.051654,1.550643,1,cluster2
0.584744,0.433527,1,cluster2
-0.203874,-1.608702,1,cluster1
0.238357,-1.394429,1,cluster1
-0.127121,-0.067347,1,cluster2
-0.481241,-0.061111,0,cluster2
-0.675896,-1.393219,1,cluster1
-0.484882,0.364558,1,cluster2
-0.779605,0.268927,1,cluster2
-0.286967,0.522555,1,cluster2
-0.684152,-0.121976,1,cluster2
3.046083,1.177039,1,cluster2
-0.481241,-0.061111,1,cluster2
-0.962679,-1.63179,1,cluster1
0.845795,-1.300446,1,cluster1
-0.284364,-1.359954,0,cluster1
0.946804,0.28435,1,cluster2
-0.460942,1.536302,1,cluster2
-0.57783,0.237387,1,cluster2
-1.320537,0.164549,1,cluster2
1.293901,0.277328,1,cluster2
-0.833236,-1.321391,1,cluster1
-0.85373,-0.189935,1,cluster2
-0.089491,0.208286,1,cluster2
-0.445565,-1.098589,1,cluster1
3.720035,-0.710596,1,cluster2
-0.98138,0.300467,1,cluster2
-1.005735,1.62146,1,cluster2
-0.916866,1.702035,1,cluster2
-0.432387,1.862471,1,cluster2
-1.268174,1.520783,0,cluster2
1.452815,0.770169,0,cluster2
-0.985679,0.017739,1,cluster2
0.050494,-1.506763,0,cluster1
0.378452,-0.053793,0,cluster2
-0.320859,-1.543182,1,cluster1
-0.708409,-0.165417,1,cluster2
2.25822,-1.521227,1,cluster2
0.40575,-1.420595,1,cluster1
-0.312798,-0.085557,0,cluster2
0.330157,0.095456,0,cluster2
-0.375705,0.583659,1,cluster2
-0.458241,-1.710641,0,cluster1
-0.032599,0.624493,1,cluster2
2.066201,2.133175,1,cluster2
-0.505376,1.496014,0,cluster2
-0.446004,-1.570854,1,cluster1
-0.704013,-1.247124,1,cluster1
-0.747463,1.581089,0,cluster2
-0.276425,-1.502895,1,cluster1
2.583413,1.301942,0,cluster2
1.852067,0.424361,1,cluster2
0.827094,0.631812,0,cluster2
1.620698,-1.327107,1,cluster1
-0.650382,0.343194,1,cluster2
0.447703,2.102768,1,cluster2
-0.259069,0.140327,1,cluster2
1.500672,0.148656,0,cluster2
-0.150121,1.582183,1,cluster2
1.888562,0.60759,0,cluster2
-0.33956,0.389076,0,cluster2
0.337059,-1.504324,1,cluster1
-0.880809,1.412999,1,cluster2
-1.087604,-1.42333,1,cluster1
-0.08143,1.665912,1,cluster2
-1.365069,1.488696,1,cluster2
0.825398,-1.533425,1,cluster1
0.209311,0.350513,1,cluster2
-0.557434,0.470365,1,cluster2
-0.553573,0.280829,0,cluster2
-1.135396,1.074928,1,cluster2
0.080526,0.74851,0,cluster2
-0.034173,0.059824,1,cluster2
0.156938,0.453166,1,cluster2
-0.80396,1.58992,0,cluster2
-0.016501,0.574744,1,cluster2
-0.590166,1.462034,1,cluster2
-1.062407,1.441385,1,cluster2
-0.832198,0.135448,1,cluster2
1.091566,-1.763963,1,cluster1
-0.41641,0.212155,0,cluster2
-1.062407,1.441385,1,cluster2
-1.265342,-1.58448,1,cluster1
0.817361,-0.026049,1,cluster2
-1.389448,-0.155313,1,cluster2
-0.760685,-1.427198,1,cluster1
-0.3475,0.532017,1,cluster2
0.883547,0.575754,1,cluster2
-1.53455,0.056302,1,cluster2
-0.800002,0.035949,1,cluster2
-0.561513,0.42377,1,cluster2
-2.0918,-0.234459,1,cluster2
1.006996,-1.561811,1,cluster1
0.084289,1.923408,1,cluster2
-0.161921,1.91466,1,cluster2
-0.954389,-1.39692,1,cluster1
0.173157,2.003983,1,cluster2
0.24047,-1.205826,1,cluster1
0.903724,0.5726,1,cluster2
0.455204,1.487562,1,cluster2
3.522558,-0.396327,1,cluster2
-0.444746,0.122118,1,cluster2
0.035873,0.47209,1,cluster2
-0.456546,0.454595,1,cluster2
-0.776783,-1.377449,1,cluster1
1.020612,1.871514,0,cluster2
0.733707,0.032376,0,cluster2
1.545106,0.188943,1,cluster2
0.944079,0.566292,1,cluster2
-0.502554,-0.150362,0,cluster2
-0.252047,0.141114,1,cluster2
0.52747,0.30078,1,cluster2
-0.343859,0.106347,1,cluster2
-0.347817,1.660319,0,cluster2
-0.651575,-1.585954,0,cluster1
-0.478078,0.129212,1,cluster2
-1.243907,0.105337,1,cluster2
-0.397578,-1.578423,1,cluster1
-1.118762,0.133009,1,cluster2
-0.072954,0.630801,1,cluster2
-0.355659,0.438825,1,cluster2
-0.343859,0.106347,1,cluster2
-0.135182,-1.524973,1,cluster1
0.737908,1.679538,1,cluster2
-1.490116,0.09659,1,cluster2
-0.468653,0.456488,1,cluster2
1.407943,0.257617,1,cluster2
-1.207631,0.052433,1,cluster2
-1.001777,0.067489,0,cluster2
-0.066491,-1.441243,1,cluster1
0.003457,0.335457,0,cluster2
-0.275168,0.190077,1,cluster2
-0.541554,0.184483,1,cluster2
-0.582129,-0.045341,1,cluster2
-0.513218,0.274521,1,cluster2
-0.606264,1.511784,0,cluster2
-1.058328,1.487981,0,cluster2
-0.869731,-1.50462,0,cluster1
0.665576,2.021478,1,cluster2
-0.541871,1.312785,0,cluster2
-0.502238,-1.278664,1,cluster1
2.597977,-0.400735,1,cluster2
-1.276201,1.569271,1,cluster2
-0.332659,-1.210705,1,cluster1
-0.518336,-1.228914,1,cluster1
-1.465957,1.504466,1,cluster2
0.38275,0.228935,0,cluster2
1.674549,0.499343,1,cluster2
-0.17428,0.174307,1,cluster2
-1.470036,1.45787,1,cluster2
0.391347,0.794391,0,cluster2
-0.733102,-1.43151,1,cluster1
1.620698,-1.327107,1,cluster1
-0.659578,-1.206836,1,cluster1
-0.493138,1.635801,1,cluster2
2.529781,-0.288376,1,cluster2
-1.1038,-0.009146,1,cluster2
-0.684054,-1.48641,1,cluster1
0.726206,0.647582,1,cluster2
0.071929,0.183054,1,cluster2
0.046853,-1.081094,1,cluster1
0.988075,0.134315,1,cluster2
-0.239023,-0.004506,1,cluster2
-1.191314,0.238816,0,cluster2
-0.546891,-1.555084,1,cluster1
-0.376055,0.205847,0,cluster2
0.310199,0.334743,1,cluster2
-0.348976,-1.397087,1,cluster1
-0.777002,-1.613581,1,cluster1
-1.172394,-1.457309,1,cluster1
-0.724409,-1.480102,1,cluster1
-0.002099,-1.640242,1,cluster1
0.801799,-0.868469,0,cluster2
-1.113791,-1.372003,1,cluster1
0.062732,-1.366976,1,cluster1
-0.179714,-0.200826,0,cluster2
-0.590166,1.462034,1,cluster2
-0.376055,0.205847,1,cluster2
-1.494195,0.049994,1,cluster2
1.945453,1.023797,0,cluster2
-0.369154,-1.393933,0,cluster1
0.124644,1.9171,0,cluster2
1.656657,-0.251709,1,cluster2
-1.172491,-0.092875,1,cluster2
1.929355,1.073546,1,cluster2
-0.295345,0.193231,1,cluster2
-0.578966,0.144982,0,cluster2
0.939181,-0.70101,1,cluster2
0.062732,-1.366976,1,cluster1
-1.042229,1.438231,1,cluster2
2.033445,0.159843,1,cluster2
-0.493041,0.271367,0,cluster2
0.22927,0.111226,1,cluster2
0.164877,0.310225,1,cluster2
0.411208,1.919539,0,cluster2
-1.026131,1.388482,1,cluster2
-0.807722,0.415022,1,cluster2
1.400003,0.400558,1,cluster2
-1.11886,1.497443,0,cluster2
-1.631456,1.483102,0,cluster2
1.919063,-1.657146,1,cluster2
-0.502238,-1.278664,1,cluster1
0.531332,-0.920658,1,cluster2
-1.079665,-1.566271,1,cluster1
0.027495,0.142767,1,cluster2
0.419245,0.412164,1,cluster2
0.107167,-1.326689,1,cluster1
-0.542593,-1.272356,1,cluster1
2.062439,0.958277,1,cluster2
-1.11208,-1.702904,1,cluster1
0.681674,1.971728,1,cluster2
-0.343859,0.106347,1,cluster2
1.735081,0.489881,1,cluster2
-0.581909,0.190791,1,cluster2
-0.348757,-1.160955,1,cluster1
-0.764643,0.126773,1,cluster2
-0.731311,0.119678,1,cluster2
-0.727012,0.402406,1,cluster2
-0.121687,0.307786,1,cluster2
-0.513854,-0.148596,0,cluster2
-0.795703,0.318677,1,cluster2
0.088246,0.369437,0,cluster2
-0.854306,0.233371,1,cluster2
0.538834,-1.535864,1,cluster1
-0.829157,-1.274795,1,cluster1
-0.384214,0.112656,0,cluster2
3.869817,0.108959,1,cluster2
-0.587027,-1.312643,1,cluster1
2.103232,1.424234,0,cluster2
-1.720325,1.402527,0,cluster2
1.468913,0.72042,0,cluster2
-0.069094,0.441265,1,cluster2
-0.082249,0.445205,0,cluster2
-0.626169,0.33941,1,cluster2
-1.063347,-1.379888,0,cluster1
3.553659,-1.676489,1,cluster2
-0.054132,0.29911,1,cluster2
-0.953263,0.154372,1,cluster2
-0.815347,1.497233,1,cluster2
-0.026234,-0.083117,1,cluster2
-0.715091,1.670495,1,cluster2
-0.743427,1.580458,1,cluster2
0.461886,-0.34835,0,cluster2
-0.833236,-1.321391,1,cluster1
-0.844534,1.360096,1,cluster2
-0.590068,0.0976,0,cluster2
-0.448923,1.439956,1,cluster2
-1.009814,1.574864,1,cluster2
-1.127959,-1.417022,1,cluster1
-0.787545,0.411868,1,cluster2
-0.324939,-1.589778,1,cluster1
-1.574905,0.06261,1,cluster2
0.325259,-1.171846,1,cluster1
0.660118,-1.318656,1,cluster1
2.47349,0.279991,1,cluster2
-0.807722,0.415022,1,cluster2
-0.476943,0.221617,1,cluster2
0.15568,-1.239805,1,cluster1
0.475917,0.592239,0,cluster2
-1.909983,-0.026713,0,cluster2
0.717731,1.682692,0,cluster2
3.368859,-0.750169,1,cluster2
0.07462,-1.605001,1,cluster1
-0.528425,-1.227337,1,cluster1
-0.864395,0.234948,0,cluster2
0.705931,2.01517,1,cluster2
-0.476724,0.457749,1,cluster2
1.661492,-0.861151,1,cluster2
2.207322,0.51053,1,cluster2
-0.759371,0.218531,1,cluster2
0.221549,0.4903,1,cluster2
1.172699,1.191822,1,cluster2
0.059091,-0.941307,1,cluster2
2.25882,-0.536653,1,cluster2
-0.353056,-1.443683,1,cluster1
-0.460844,0.171867,1,cluster2
1.588502,-1.227608,1,cluster1
0.423008,1.587062,1,cluster2
-1.255926,0.201683,0,cluster2
1.100163,-1.198507,0,cluster1
-0.545512,1.738454,0,cluster2
-0.771447,0.362119,1,cluster2
-0.109449,0.447573,1,cluster2
-1.320537,0.164549,1,cluster2
2.675265,0.248451,1,cluster2
-0.890581,0.286274,0,cluster2
0.357455,-1.271345,1,cluster1
-0.351896,1.613723,1,cluster2
-0.817357,-1.607273,1,cluster1
-0.130884,-1.242245,1,cluster1
0.096405,0.462628,1,cluster2
-0.348757,-1.160955,1,cluster1
-1.126702,0.27595,0,cluster2
-0.995865,1.383751,1,cluster2
-1.093614,-1.375157,1,cluster1
-0.069094,0.441265,0,cluster2
-0.553354,0.516961,1,cluster2
-0.522634,-1.511642,1,cluster1
-0.381051,0.302979,1,cluster2
0.199677,-1.671782,1,cluster1
-1.127959,-1.417022,1,cluster1
-1.199472,0.145625,0,cluster2
-0.764545,-1.237662,1,cluster1
-0.585989,0.144196,1,cluster2
0.159541,-1.429342,1,cluster1
-0.008962,-1.403003,0,cluster1
0.415166,0.365568,1,cluster2
-0.820398,-0.19703,1,cluster2
0.07613,1.830217,1,cluster2
-1.207631,0.052433,1,cluster2
-0.065332,1.616162,0,cluster2
-1.002815,-1.38935,1,cluster1
1.084065,-1.148758,1,cluster1
0.62102,0.380624,1,cluster2
-0.319602,0.149789,1,cluster2
