@relation 'AT: Aviation_Accident_Database_&_Synopses.arff-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-R2'

@attribute '-0.707Latitude+0.707 Aircraft.Damage' numeric
@attribute ' Longitude' numeric

@data
-0.744048,-6
-0.573541,-6
1.714527,-4
1.441902,-5
0.054197,-5
1.865809,-4
-0.043591,-3
-0.819502,-6
-0.371761,-5
0.374228,-4
-0.648929,-6
-0.463803,-6
1.760067,-3
-0.091387,-4
-0.210143,-6
0.378737,-4
0.280477,-4
-0.398313,-5
0.197079,-4
1.839258,-5
1.614932,-6
-1.574835,-7
0.212918,-4
1.123141,-6
-0.046717,-3
0.215344,-4
0.364428,-4
-0.037161,-5
-0.840729,-6
-0.249978,-3
-1.701926,-7
-0.212226,-6
0.308167,-4
0.204616,-4
-2.213978,1
-0.204396,-6
0.445335,-4
-2.438857,-4
-0.748199,-6
-0.43608,-3
1.975953,-4
-0.356866,-4
-0.767181,-6
0.1003,-4
-0.526136,-3
2.688489,-7
-0.659966,-4
-0.81649,-6
-0.665273,-6
-0.34858,-4
-0.153394,-6
-0.174687,-4
-0.09461,-5
2.609291,-5
0.083532,-4
-0.371338,-5
-0.465871,-4
-0.347359,0
-0.668952,-5
-0.694641,-5
-0.174654,-5
-0.442103,-3
0.017992,-5
0.299816,4
-0.123961,-4
-0.652901,0
0.047832,-4
-0.40375,-4
1.508646,-5
0.254756,-4
0.055239,-5
-1.577114,-7
-0.356231,-3
-0.255399,-5
1.576741,-5
-0.38231,-3
0.009592,-5
-0.735632,-5
0.151335,-4
0.143602,-4
0.128153,-4
-0.05528,-5
1.782053,-4
1.75643,-4
-0.07374,-4
1.429953,-4
-0.669099,-6
-0.573166,-3
1.669386,-4
0.021313,-5
-1.762494,-5
-0.329143,-3
-0.720443,-6
-0.116961,-5
0.104467,-5
-0.113494,-5
2.448265,5
0.435437,-4
-0.22118,-5
0.470519,-4
-0.420436,-4
0.169583,-5
-1.779984,-7
3.506025,-3
-0.394113,-4
1.563067,-4
-1.554014,-8
1.875723,-5
-1.740019,-7
-0.044796,-5
-1.562593,-7
0.942042,-4
1.63533,-5
-0.310275,-5
-0.793911,-4
0.228953,-5
-0.29678,-5
-0.205112,-5
0.250881,-4
-0.400901,-4
0.30527,-4
-0.273664,-5
0.107007,-4
-0.401585,-3
1.522239,-6
-0.743901,-6
-0.405557,-4
-0.316006,-5
-0.385534,-3
-2.273152,-3
-0.046375,-4
-0.48661,-4
-1.610551,-7
-0.333343,-5
1.565004,-3
-0.454915,-4
-0.397906,-4
0.015404,-4
1.8578,-5
-1.505258,-8
0.39991,0
0.450251,-4
-0.098843,-4
-0.508164,-4
-2.584865,-6
-0.300492,-5
-0.385192,-3
1.815214,-3
-0.610576,-4
-0.164431,-6
0.241602,-4
-0.257059,-4
0.113844,1
-0.366194,-4
0.074123,-5
0.091623,-4
-0.283268,-6
-0.196745,-4
0.4853,-4
-0.30772,-3
-0.67356,-6
-1.621833,-7
-0.224061,-4
2.367781,5
-0.750576,-6
0.36923,-4
-0.352161,-4
-1.79081,-7
0.444977,-4
-0.032668,-4
-0.167361,-3
-0.373161,-5
-0.78136,-5
-0.590487,-5
-0.063322,-5
1.562969,-4
-1.558133,-7
1.479376,-3
1.370762,-4
-0.395545,-4
2.23383,-4
0.001518,-5
-0.009796,-4
-0.279557,-4
1.752441,-5
-0.370899,-4
3.168364,-4
0.463095,-4
-1.583316,-7
0.215197,-4
-0.745236,-6
-0.667764,-6
-0.418906,-4
-0.292287,-3
-1.762494,-5
-0.003919,-4
1.899377,-4
0.041727,-4
-2.085585,-3
-1.699191,-7
0.020695,-5
-0.277506,-4
0.00816,-5
-0.009421,-5
-0.045056,4
-0.393055,-6
-0.008184,-4
0.001567,-5
0.510874,-4
-0.567648,4
0.204225,-4
1.813488,-4
1.906279,-4
-1.4146,1
1.381903,0
0.034434,-5
1.737741,-4
0.056883,-5
-0.078738,-4
0.102676,-4
1.772514,3
-0.342589,-3
0.093251,-4
-0.598725,-5
-0.378159,-3
-0.509906,-4
-0.312392,-4
0.415805,-4
0.073716,-4
-1.429984,-7
-0.506048,-4
-1.766879,-7
1.165685,-4
4.621875,-3
-0.609192,-4
-0.415064,-3
-0.237752,-3
-0.577106,-4
-0.442331,5
0.125255,-4
1.985672,-4
0.759359,-7
-0.046912,-4
-0.634132,-5
0.008599,-5
0.368367,-4
-0.343013,-3
0.399656,-4
-0.338292,-4
-1.548056,-7
-0.309396,-3
-0.54891,-5
-1.59673,-7
1.078162,-6
-0.306482,-6
1.393781,-6
-3.098427,-1
-1.58667,-7
-1.50267,-7
2.062786,-4
0.107202,-5
0.038423,-5
-0.623941,-5
-0.32001,-5
0.279532,-4
2.14327,-4
-0.187205,-6
-0.147924,-4
-0.222319,-3
0.019181,-4
-0.390287,-3
0.142772,-4
-0.391817,-4
-1.63383,-7
-0.371924,-5
0.075637,-4
-0.727508,-4
-0.419459,-4
-0.019368,-6
-0.09015,-3
-1.560575,-8
-0.35628,-3
-1.790126,-7
0.014867,-5
-1.599547,-7
-0.507562,-4
-0.397596,-5
0.246958,-4
-1.66691,-7
-2.116597,-4
-0.603771,-3
0.496744,-4
0.790907,-7
1.853535,-4
-0.303487,-3
-0.213236,-4
1.364543,-4
0.085583,-5
1.054085,0
-0.814357,-5
2.095969,-2
-0.398003,-3
-0.252436,-6
-0.505869,-5
-0.366194,-5
1.751855,-5
-1.505551,-8
-1.879801,-4
0.021965,-4
-0.68445,-4
3.367252,-2
0.201328,-4
-0.738822,-6
-0.120575,-4
-0.838076,-5
-0.69635,-6
-0.154143,-4
-0.381513,-3
-0.448892,-4
-0.663776,-6
-0.316006,-5
-1.775598,-5
0.288356,-4
-0.315924,-5
1.811616,-3
-0.696139,-4
-0.08131,-4
-0.464927,-4
-0.443699,-5
-0.014224,-5
-0.103075,-5
1.565997,-3
1.151043,-5
-0.024056,-4
-0.342589,-3
-0.46872,-4
0.228058,-4
1.229248,-4
0.322281,-4
0.561372,-4
-0.738171,-6
-0.493138,-4
-0.403913,-3
-0.265475,-5
0.078811,-4
-0.523955,-5
-1.600654,-7
0.085209,-5
1.533895,-6
0.476086,-4
-1.505649,-7
-1.804907,-8
0.364118,-4
1.486978,-6
1.669864,-5
-0.315957,-5
-0.774099,-4
-1.044332,0
0.025937,-4
0.288079,-4
-0.058015,-5
4.232577,5
0.04329,-5
0.320914,-4
-0.517964,-4
-0.482899,-3
0.230874,-4
-0.674048,-5
0.003634,-5
-0.217647,-6
-0.812111,-6
-0.334075,-5
0.11189,-4
2.180402,-4
-1.50363,-7
0.344235,-7
-2.027355,-5
0.07103,-5
-0.263913,-4
-0.429389,-4
-0.814715,-5
0.519958,-3
-0.832622,-6
3.204471,-3
-0.150854,-6
-0.223133,-5
0.035704,-5
0.216347,-7
-0.675953,-6
-1.589763,-7
-0.267233,-4
2.310668,-3
0.493863,-4
-0.236515,-4
0.785845,-7
-0.638869,-3
0.997548,-5
-0.486903,-3
-0.436992,-4
-0.386755,-3
-1.787635,-7
-1.670117,-7
-0.050656,-5
-0.349427,-3
-0.123408,-3
-0.431473,-4
0.129569,-5
-0.310731,-5
0.248097,-4
-1.612163,-7
1.933953,-4
0.305579,-4
0.056444,-4
0.188597,-5
1.43245,-4
0.46246,-4
-0.643411,-6
-0.647448,-6
-0.260689,-6
-0.775581,-4
-0.315794,-5
-0.251801,-6
0.113876,-5
4.00129,7
0.109383,-5
1.67142,-6
-0.508115,-3
-0.353513,-5
-0.56895,-3
-0.606669,-4
-0.767181,-5
-0.846981,-5
-0.09251,-4
-0.66052,-4
0.304277,-4
2.293054,-4
-0.36131,-5
-0.746213,-5
-0.450992,-3
0.853549,-7
0.449844,-4
-1.7296,-7
4.845289,1
1.214873,-4
0.450626,-4
0.367798,4
-0.235847,-6
0.293158,-4
3.391257,-3
-0.104866,-5
-0.591269,-4
1.070592,-5
0.008583,-5
0.047327,-4
0.144009,-5
0.111776,-5
0.017862,-5
1.488167,-4
0.331007,-4
-0.027898,-5
-1.613117,-4
3.347206,-3
0.296967,-4
-0.200212,-6
0.024667,-5
-1.107251,-8
-0.521204,-4
1.137824,-6
-0.11338,-5
-0.351673,-4
0.009755,-5
1.834879,-5
0.124588,-5
0.180572,-4
-0.394568,-3
0.166686,-4
-0.004684,-5
0.270742,-4
0.184886,-4
0.063053,-4
0.361791,-4
1.50832,-5
-0.263733,-6
-0.045903,-5
-0.540852,-5
-0.39115,-4
-0.429048,-5
2.615998,-5
1.273185,-4
0.2515,-4
-0.32185,-5
0.019539,-5
-0.167996,-5
-1.535879,-7
0.064583,-4
0.125825,-4
0.19366,-4
-0.023356,-4
-0.135356,-6
1.40306,-3
0.335825,-4
0.445058,-3
-0.38135,-4
-0.049517,-4
0.030625,-5
-0.368815,-4
-0.604422,-4
0.222588,-4
-0.113445,-5
0.04316,-5
0.283309,-4
